sample_order,recommendation_id,case_id,jurisdiction,year,year_bin,recommendation_count,text_chars,theme,mechanism,addressee,specificity,scope,has_deadline_or_metric,ambiguous_theme,ambiguous_mechanism,ambiguous_addressee,ambiguous_specificity,ambiguous_scope,requires_legal_expertise,non_english_or_redacted,coder_notes
11,sa/SACorC/2012/23,sa/SACorC/2012/23,SA,2012,2010-2019,1,1051,THEME-MED,MECH-INV,ADDR-DEPT-NAMED,SPEC-2,SCOPE-IND,False,False,False,False,False,False,False,False,Minister for Health to raise with federal counterpart and investigate workforce sufficiency; the investigation is itself the endpoint.
12,sa/SACorC/2013/6,sa/SACorC/2013/6,SA,2013,2010-2019,4,3082,THEME-DV,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,True,False,False,False,False,Mixed multi-rec block to Commissioner of Police (4) and Minister for Correctional Services (2); first-stated rec at Commissioner of Police for dedicated case-manager system for high-risk ANCOR offenders.
13,act/ACTCD/2025/4,act/ACTCD/2025/4,ACT,2025,2020plus,7,6608,THEME-OTHER,MECH-PROC,ADDR-DEPT-GENERIC,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,"ACT-ADF DACC (bushfire) response recs; first-stated rec ""the ACT should provide... a briefing"" - ACT is jurisdictional shorthand so DEPT-GENERIC + SPEC-1; later recs vary in addressee."
14,nt/NTCorC/2018/7,nt/NTCorC/2018/7,NT,2018,2010-2019,6,2279,THEME-OTHER,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Five recs to NT Commissioner of Police re evidence handling/governance for major-offence investigations.
15,tas/TasCorC/2022/120,tas/TasCorC/2022/120,TAS,2022,2020plus,2,751,THEME-MED,MECH-PROC,ADDR-UNSPEC,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,"Two recs - ""all facilities using mobility hoists"" review maintenance, and ""technicians"" use thread-locking adhesive; no specifically named addressee, so UNSPEC and SPEC-1."
16,act/ACTCD/2018/2,act/ACTCD/2018/2,ACT,2018,2010-2019,1,842,THEME-MED,MECH-PROC,ADDR-HEALTH,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Three QA process recs to Canberra Hospital (twice) and Peter Mac re core biopsies and EGFR mutation analysis reporting.
17,qld/QldCorC/2010/27,qld/QldCorC/2010/27,QLD,2010,2010-2019,3,4056,THEME-RTA,MECH-PROC,ADDR-UNSPEC,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,Three recs - first (re mechanical exam briefing) has no named addressee; subsequent recs name Queensland Transport and a multi-agency cooperation arrangement.
18,vic/VicCorC/2023/28537,vic/VicCorC/2023/28537,VIC,2023,2020plus,14,10671,THEME-DRUG,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Medicines and Poisons Regulation Section of the Victorian Department of Health to implement compliance-monitoring and deterrence measures for SafeScript non-compliance.
19,wa/WACorC/2019/51,wa/WACorC/2019/51,WA,2019,2010-2019,9,5206,THEME-MH,MECH-PROC,ADDR-HEALTH,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,"Six recs to EMHS (5) and Office of the Chief Psychiatrist (1) on MH discharge planning policy; lead verb is ""consider amending"" on first-stated."
20,vic/VicCorC/2013/163,vic/VicCorC/2013/163,VIC,2013,2010-2019,3,1797,THEME-PROD,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,True,False,False,True,False,True,False,False,"First-stated rec is to Minister/Dept for Consumer Affairs to immediately issue a warning re bed entrapment; later recs broaden to product safety standards. ""Immediately"" reads as a time-bound cue."
21,nt/NTCorC/2018/3,nt/NTCorC/2018/3,NT,2018,2010-2019,1,279,THEME-CUST,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Commissioner of NT Correctional Services to ensure prisoner transfer reasons are recorded.
22,qld/QldCorC/2019/28,qld/QldCorC/2019/28,QLD,2019,2010-2019,23,8625,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,"Coroner explicitly states ""I make no additional recommendations"" - the text quotes prior-case recs but no new rec is made in this finding. Full catch-all."
23,wa/WACorC/2013/39,wa/WACorC/2013/39,WA,2013,2010-2019,23,8988,THEME-REC,MECH-PROC,ADDR-DEPT-GENERIC,SPEC-1,SCOPE-SYS,False,True,True,True,False,False,False,False,"Pool-safety multi-rec block; first-stated rec to ""Local Governments"" (generic class, not a specifically named council) re public-awareness process; lead verb ""consider implementing"". Theme is at REC/CHILD boundary."
24,nsw/NSWCorC/2014/26,nsw/NSWCorC/2014/26,NSW,2014,2010-2019,6,1009,THEME-MED,MECH-PROC,ADDR-DEPT-NAMED,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,"Multi-addressee rec block addressed first to Minister for Health; lead verb is ""consider introducing"" so SPEC-1 under v2.4. Subsequent addressees include Westmead Hospital (HEALTH), NSW Ministry of Health (DEPT-NAMED) and Cardiac Society of A&NZ (PROF)."
25,vic/VicCorC/2022/28269,vic/VicCorC/2022/28269,VIC,2022,2020plus,5,1855,THEME-MH,MECH-PROC,ADDR-HEALTH,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Three protocol recs to Bendigo Health re removal of self-harm items on MH inpatient admission.
26,sa/SACorC/2010/24,sa/SACorC/2010/24,SA,2010,2010-2019,1,4848,THEME-MED,MECH-PROC,ADDR-HEALTH,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,Medical Director of SAAS (ambulance service) to consider issuing a midazolam administration guideline.
27,sa/SACorC/2004/30,sa/SACorC/2004/30,SA,2004,pre2010,1,1504,THEME-DRUG,MECH-INV,ADDR-DEPT-NAMED,SPEC-2,SCOPE-IND,False,False,False,False,False,False,False,False,"Minister for Health to investigate feasibility of a doctor-shopping detection scheme for dangerous drugs; the investigation itself is the endpoint, not the scheme."
28,tas/TasCorC/2022/113,tas/TasCorC/2022/113,TAS,2022,2020plus,2,794,THEME-PROD,MECH-PROC,ADDR-POLICE,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,"Two recs to Tasmania Firearms Services to consider reviewing licence-grant and -cancellation processes; lead verb ""considers reviewing"" so SPEC-1. Firearms Services in Tas sits within Tasmania Police."
29,qld/QldCorC/2025/38,qld/QldCorC/2025/38,QLD,2025,2020plus,3,605,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner explicitly accepts there are no comments or recommendations to be made; full catch-all.
30,vic/VicCorC/2015/9,vic/VicCorC/2015/9,VIC,2015,2010-2019,1,2130,THEME-RTA,MECH-INFRA,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,True,False,False,False,False,False,VicRoads to review three named intersections with a view to upgrading them - operational endpoint is the physical upgrade. Borderline INFRA/PROC; chose INFRA per endpoint-test.
31,wa/WACorC/2023/21,wa/WACorC/2023/21,WA,2023,2020plus,7,5590,THEME-MH,MECH-FUND,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,True,False,False,False,False,False,False,WAPF to fund a third permanent member of the Police Negotiators Unit - endpoint is the FTE allocation.
32,nsw/NSWCorC/2020/60,nsw/NSWCorC/2020/60,NSW,2020,2020plus,1,364,THEME-OTHER,MECH-INV,ADDR-POLICE,SPEC-2,SCOPE-IND,False,False,False,False,False,False,False,False,Referral of a specific suspected-death case to NSW Unsolved Homicide Unit.
33,vic/VicCorC/2022/27865,vic/VicCorC/2022/27865,VIC,2022,2020plus,5,1968,THEME-MED,MECH-PROC,ADDR-HEALTH,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,"Five recs to South West Health Care re post-operative surgical patient review, MDT rounds, peer review and escalation protocols."
34,vic/VicCorC/2017/24466,vic/VicCorC/2017/24466,VIC,2017,2010-2019,2,1463,THEME-MED,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Three recs - two to Banyule City Council and one to DHHS - re home-care policy development/training and disability-needs knowledge base.
35,qld/QldCorC/2025/24,qld/QldCorC/2025/24,QLD,2025,2020plus,2,909,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner concludes there are no further recommendations to be made; full catch-all.
36,tas/TasCorC/2019/9,tas/TasCorC/2019/9,TAS,2019,2010-2019,1,754,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner states circumstances are not such as to require any recommendations; full catch-all.
37,nsw/NSWCorC/2018/75,nsw/NSWCorC/2018/75,NSW,2018,2010-2019,23,11685,THEME-DRUG,MECH-PROC,ADDR-HEALTH,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,"Five recs to CEO South Western Sydney LHD re Corella Lodge admission, buprenorphine guidelines, nurse training and sedation observation; first-stated rec uses ""consideration be given"" passive aspirational lead."
38,nt/NTCorC/2000/6,nt/NTCorC/2000/6,NT,2000,pre2010,17,10418,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner reviews many issues but explicitly states none warrants a recommendation; full catch-all.
39,tas/TasCorC/2021/24,tas/TasCorC/2021/24,TAS,2021,2020plus,1,372,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner states there is no need to make any further comments or recommendations; full catch-all.
40,sa/SACorC/2003/10,sa/SACorC/2003/10,SA,2003,pre2010,1,1080,THEME-CUST,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,True,False,False,False,False,"Three recs - SA Dept of Correctional Services review stress-screening form (first-stated), cell-design review at Yatala, Commissioner of Police protocol reinforcement."
41,qld/QldCorC/2014/48,qld/QldCorC/2014/48,QLD,2014,2010-2019,1,287,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,First-phase finding; coroner defers recommendations to a future second phase. No recommendation made here.
42,sa/SACorC/2009/17,sa/SACorC/2009/17,SA,2009,pre2010,1,1243,THEME-CUST,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,SA Dept for Correctional Services to revise the prison stress screening form; second rec repeats prior recs re hanging-point elimination at Adelaide Remand Centre.
43,nt/NTCorC/2021/2,nt/NTCorC/2021/2,NT,2021,2020plus,5,1219,THEME-CUST,MECH-PROC,ADDR-POLICE,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,"Five recs to NT Commissioner of Police and Commissioner of Corrections re investigative staffing, scene preservation, prisoner activities, contraband detection and CCTV."
44,vic/VicCorC/2013/102,vic/VicCorC/2013/102,VIC,2013,2010-2019,1,756,THEME-MED,MECH-PROC,ADDR-HEALTH,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,St Vincent's Private Hospital to ensure (via education program or other means) that doctors and HMOs keep family informed of patient progress.
45,vic/VicCorC/2013/23723,vic/VicCorC/2013/23723,VIC,2013,2010-2019,1,644,THEME-DRUG,MECH-PROC,ADDR-DEPT-NAMED,SPEC-1,SCOPE-SYS,False,False,False,False,False,False,False,False,"Victorian Department of Health to consider consulting Victoria Police, Ambulance Victoria and RACGP re opportunities to retrieve Schedule-8 medications after a death; ""consider consulting"" so SPEC-1."
46,sa/SACorC/2022/24,sa/SACorC/2022/24,SA,2022,2020plus,1,8822,THEME-MH,MECH-PROC,ADDR-DEPT-NAMED,SPEC-2,SCOPE-SYS,False,False,False,False,False,False,False,False,Multi-rec block directed to Minister for Health and Wellbeing and CE of SA Health re amending a psychiatric-assessment pro-forma and issuing care guidelines for comorbid MH/SUD presentations.
47,tas/TasCorC/2017/43,tas/TasCorC/2017/43,TAS,2017,2010-2019,1,3969,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Visible text is preamble building toward recommendations on chainsaw safety/Forest Safety Code/Australian Standards but is truncated before any actual operative recommendation appears; coded as catch-all on the visible-text-only rule.
48,qld/QldCorC/2009/63,qld/QldCorC/2009/63,QLD,2009,pre2010,1,1226,THEME-OTHER,MECH-OTHER,ADDR-UNSPEC,SPEC-1,SCOPE-IND,False,False,False,False,False,False,False,False,Coroner explicitly makes no comments and closes the inquest; full catch-all.
49,nt/NTCorC/2005/10,nt/NTCorC/2005/10,NT,2005,pre2010,2,513,THEME-OTHER,MECH-INV,ADDR-POLICE,SPEC-2,SCOPE-IND,False,False,False,True,False,False,False,False,s.35(3) NT Coroners Act referral to Commissioner of Police and DPP about a possible criminal-code offence; treated as a referral-type rec (cf. unsolved-homicide referrals). First-stated addressee Commissioner of Police (POLICE); DPP would code DEPT-NAMED hence ambiguous_addressee.
50,vic/VicCorC/2013/23398,vic/VicCorC/2013/23398,VIC,2013,2010-2019,2,1546,THEME-REC,MECH-PROC,ADDR-PRIVATE,SPEC-1,SCOPE-SYS,False,False,False,True,False,False,False,False,"Two recs - canoe/kayak retailers (first-stated, generic private class) to consider distributing the Paddle Safe brochure at point of sale, and canoeing/kayaking sporting bodies to consider distribution to members."
